name,class,nose,left_ear,upper_body,lower_body,left_eye,right_ear,left_hand,right_hand,body,head,left_foot,mouth,left_arm,right_eye,right_arm,right_foot
A-W4-o1,ASD,0.2951031246968919,0.8471494872764223,27.472183130353553,19.518958228045065,1.9741381445240347,1.2056567316031481,1.0919598380694016,0.9643688319007209,33.386965586562816,48.910407542601014,1.0240004712998345,1.2377501748725726,0.0,1.6485071103757423,0.0,0.8766989380915601
A-L10-s1,ASD,0.0,0.0,15.669430865985944,34.94849324886105,0.0,0.0,0.0,0.0,0.0,2.4373640576374047,0.0,0.0,0.0,0.0,0.0,0.0
A-L4-s1,ASD,0.7532146027443741,2.130987264219849,32.24019253038498,10.286253403414156,1.8354194917449116,1.5768983610515739,7.097250667398875,3.986540800411283,7.867981888811721,48.630764253906015,1.9135395841974172,2.81232332829014,10.213570199641946,1.620991918389456,5.54739880716055,2.0488403628780416
A-L2-s2,ASD,0.0,0.0,49.47145832044955,12.72104852826385,0.0,0.0,0.0,0.0,0.0,13.670548361580845,0.0,0.0,0.0,0.0,0.0,0.0
A-P7-o3,ASD,0.9655000571135861,1.342529794477616,14.477260693571557,3.956493470136301,1.39047728713753,0.8922346376778494,1.0957181109495306,1.0742334421073838,8.903299169817304,59.42004381346508,0.6387758858189757,5.554572920165003,2.646544389933332,1.7672450163449487,1.8890788091693234,0.3065495432355199
A-P7-s3,ASD,0.7380708732728473,0.0,19.249364549712798,3.627343310164352,1.8225999317749935,0.0,0.8447996981065167,1.1822269827729681,7.150626016115878,51.67932847090381,0.3419427349478775,3.8561945403365545,0.0,1.5689137250549612,0.0,0.2641538414633349
A-L10-s2,ASD,0.0,0.0,30.30491812631509,18.84954046432092,0.0,0.0,0.0,0.0,0.0,7.861826062201666,0.0,0.0,0.0,0.0,0.0,0.0
A-4-s2,ASD,0.0,0.0,22.028209653929494,14.195805497616064,0.0,0.0,0.0,0.0,0.0,40.96354206323159,0.0,0.0,0.0,0.0,0.0,0.0
A-L9-o3,ASD,0.10308321046696894,0.685364047969578,42.127100230644814,8.752126992971684,0.7570270005915093,0.5934249683639027,1.4208766848149763,1.281110710262915,20.508296376686758,15.30995401786114,0.45207345892081324,0.24114660947077743,0.0,1.6101721298616778,0.0,0.2925334351089656
A-2-o3,ASD,1.8126757604829116,5.130480446053244,28.36269176305242,11.381524089495915,1.1503485356025251,4.132935982822002,3.1131846993845564,3.2802645847455505,15.341740359602975,46.52634830853981,3.390946196566963,2.7282664824769562,0.0,1.387926262887987,0.0,1.8780625088678573
A-P8-s1,ASD,0.8571661172026136,1.1884608215014236,28.28133887098303,9.263394228608645,1.7447616315659196,0.6634465747148229,1.0620288192140381,1.1186017829494106,27.387743193799306,47.61557781060518,0.13050354134409792,3.054940041710114,2.7686465585644418,2.2605613425925926,4.149541173377852,0.12621771075808486
A-2-o2,ASD,1.6905984622499628,0.0,18.265556812420925,7.018545131158933,1.0886429491761127,0.0,1.4191766228852405,0.6561413612228875,0.0,52.83662053012626,2.0462546655554625,2.778256214187004,0.0,3.506809572481787,0.0,2.719144379842595
A-P8-s2,ASD,0.0,0.0,20.26931423320213,7.707671478934601,0.0,0.0,0.0,0.0,0.0,48.928447488788514,0.0,0.0,0.0,0.0,0.0,0.0
B-L3-s1,TD,0.0,0.0,17.524326123844038,9.473260741242356,2.2599041605059362,0.0,1.5482871078376372,0.7566162444231452,0.0,83.32567978786453,0.0,1.45190762347136,0.0,1.5057740592736633,0.0,0.0
B-2-o1,TD,0.0,0.0,19.94774790897445,13.558427716884125,1.2290027996267165,0.0,0.840014809619587,0.938280693009048,0.0,37.79387386029689,3.889910330796474,0.99601755997751,0.0,2.38645716802977,0.0,4.172903757759835
B-1-o3,TD,0.0,0.0,18.782283783196693,10.846641696220862,0.0,0.0,0.0,0.0,0.0,26.10163941016,0.0,0.0,0.0,0.0,0.0,0.0
B-W5-o3,TD,0.0,0.0,7.738245594430394,25.17968058369289,0.0,0.0,0.0,0.0,0.0,39.38887061850764,0.0,0.0,0.0,0.0,0.0,0.0
B-L5-s1,TD,0.0,0.0,30.23971230922256,10.004667578870965,4.110419366569221,0.0,1.3984611141009249,1.0959204707794192,0.0,56.40519755625972,0.5196047858186779,0.7820895694212479,0.0,3.208538245775891,0.0,0.6733143038275774
B-L5-o1,TD,0.0,0.0,27.09934783452889,7.649328477221182,3.582377816255169,0.0,1.1891813178873263,0.5142405698972222,0.0,39.71519478283163,1.575921306924041,0.8109178217610046,0.0,5.429193709107211,0.0,1.872245371583222
B-L6-s1,TD,0.0,0.0,10.775375164996483,13.803257794881741,0.0,0.0,0.0,0.0,0.0,83.8703887852148,0.0,0.0,0.0,0.0,0.0,0.0
B-W5-s3,TD,0.0,0.0,24.336256664989072,11.70421962734046,0.0,0.0,0.0,0.0,0.0,32.94541821418371,0.0,0.0,0.0,0.0,0.0,0.0
B-L9-o2,TD,0.0,0.0,6.153986329380971,14.488543278320273,0.0,0.0,0.0,0.0,0.0,55.15402662984722,0.0,0.0,0.0,0.0,0.0,0.0
B-P2-s1,TD,0.0,0.0,22.235053885750922,31.018692811835795,0.4407697096109094,0.0,0.6847229259996863,0.7139146159607828,44.12377690023533,23.1962295583227,0.906430916894028,0.9208200218606891,0.0,0.3317763742887368,0.0,0.4648342472275649
B-P2-o1,TD,0.0,0.0,33.64627710298056,17.44366415379936,0.5313986187795812,0.0,1.0386937137115653,2.0164479535094384,0.0,12.049359579228991,1.9338873784699948,0.5291564305146887,0.0,0.36956067294571515,0.0,2.0910007133171264
B-P3-s3,TD,0.0,0.0,3.5871051380633765,5.373884027441909,0.0,0.0,0.0,0.0,0.0,61.64122111326023,0.0,0.0,0.0,0.0,0.0,0.0
B-1-s1,TD,0.0,0.0,11.510198014449562,7.766759754431008,0.0,0.0,0.0,0.0,0.0,27.48569979762529,0.0,0.0,0.0,0.0,0.0,0.0
B-W6-o2,TD,0.0,0.0,15.010241727143042,5.435208995699889,0.0,0.0,0.0,0.0,0.0,30.450879636769862,0.0,0.0,0.0,0.0,0.0,0.0
B-L2-o1,TD,0.0,0.0,4.448430562265969,14.393958814110151,1.138992646582464,0.0,0.7908546025790412,0.23391474160788467,0.0,40.03911543776668,0.6918205691190787,1.2862272934646575,0.0,1.0792481887691954,0.0,0.9794040609660024
B-1-s3,TD,0.0,0.0,15.539826384456799,7.729863820831262,0.0,0.0,0.0,0.0,0.0,54.477869617974086,0.0,0.0,0.0,0.0,0.0,0.0
B-1-o1,TD,0.0,0.0,23.31223811688603,16.975739790010593,0.0,0.0,0.0,0.0,0.0,44.91013351980541,0.0,0.0,0.0,0.0,0.0,0.0
B-W6-s2,TD,0.0,0.0,16.469790441757404,11.126945215639171,0.0,0.0,0.0,0.0,0.0,32.04137454694402,0.0,0.0,0.0,0.0,0.0,0.0
B-P3-o3,TD,0.0,0.0,6.291408983742868,8.269635519868205,0.0,0.0,0.0,0.0,0.0,49.57787476549597,0.0,0.0,0.0,0.0,0.0,0.0
B-W6-s1,TD,0.0,0.0,47.00375700455683,13.154871331720049,0.8738987136650394,0.0,2.384109219888702,2.9847143075411537,0.0,35.901565855591,0.9100631968392342,0.7353444912086309,0.0,0.9338676667766809,0.0,1.662022260081706
B-W8-s1,TD,0.0,0.0,10.311430797513207,18.684311091044915,0.0,0.0,0.0,0.0,0.0,34.82388430485317,0.0,0.0,0.0,0.0,0.0,0.0
B-L9-s1,TD,0.0,0.0,33.86280453299628,24.854378231180412,3.573534498776008,0.0,3.4332129619014866,3.2093077687339973,0.0,37.869679354603235,4.8163899799911585,1.8712076857568667,0.0,2.8532680483061044,0.0,3.916817715851672
B-P8-o2,TD,0.0,0.0,18.050002755516932,23.867283039484818,0.0,0.0,0.0,0.0,0.0,19.165130757467796,0.0,0.0,0.0,0.0,0.0,0.0
B-W5-o2,TD,0.0,0.0,14.79235222862496,11.574194573942417,0.0,0.0,0.0,0.0,0.0,28.105553878197387,0.0,0.0,0.0,0.0,0.0,0.0
B-L6-s3,TD,0.0,0.0,6.447292965259838,9.253207610038373,0.0,0.0,0.0,0.0,0.0,46.82474064730314,0.0,0.0,0.0,0.0,0.0,0.0
B-L5-s2,TD,0.0,0.0,1.0018053037535937,1.3534490846165939,0.0,0.0,0.0,0.0,0.0,71.33800209803984,0.0,0.0,0.0,0.0,0.0,0.0
B-L2-s2,TD,0.0,0.0,13.938572898952724,22.213605809365962,0.0,0.0,0.0,0.0,0.0,19.179543792686324,0.0,0.0,0.0,0.0,0.0,0.0
B-L5-o2,TD,0.0,0.0,9.568960144490372,7.635023265612562,0.0,0.0,0.0,0.0,0.0,52.77512763170098,0.0,0.0,0.0,0.0,0.0,0.0
B-P8-o1,TD,0.0,0.0,27.731427640855955,4.901431204390489,0.0,0.0,0.0,0.0,0.0,26.99668244594493,0.0,0.0,0.0,0.0,0.0,0.0
B-P8-s1,TD,0.0,0.0,38.843056412923374,7.655717026250254,0.0,0.0,0.0,0.0,0.0,23.424439913461047,0.0,0.0,0.0,0.0,0.0,0.0
B-L6-o3,TD,0.0,0.0,5.432949533833737,10.56044329088753,0.0,0.0,0.0,0.0,0.0,82.93899420691088,0.0,0.0,0.0,0.0,0.0,0.0
B-P8-s2,TD,0.0,0.0,15.333921819485473,9.07718817878045,0.0,0.0,0.0,0.0,0.0,29.206633272065105,0.0,0.0,0.0,0.0,0.0,0.0
B-W9-o2,TD,0.0,0.0,41.04450458459371,15.794820254817656,0.2950189008775829,0.0,3.234390549954566,3.6862611664653975,0.0,40.448402505431616,2.7394143940377322,0.5490629544110573,0.0,0.28223474850622093,0.0,3.1172024865504167
B-L9-s2,TD,0.0,0.0,12.659362364397344,6.211701917560061,0.0,0.0,0.0,0.0,0.0,37.703551217064735,0.0,0.0,0.0,0.0,0.0,0.0
B-W6-o1,TD,0.0,0.0,41.52291235060533,11.23390534074163,0.9774055333009908,0.0,2.6041717135110747,2.8931502857970415,0.0,15.175861128929837,3.6511363083701367,0.8381500117272206,0.0,1.5305022961691546,0.0,4.020323215007563
B-W5-s1,TD,0.0,0.0,4.662873970289332,45.505710456443154,0.49289265749599265,0.0,0.35906842532663635,0.30321333694249286,0.0,57.94247283004233,1.8796947090908673,0.6052867741220439,0.0,0.7067378530238558,0.0,1.035712924608832
B-L7-s1,TD,0.0,0.0,4.85352704519813,26.049917329456335,0.9625352408215043,0.0,0.988549706789653,0.580447771914319,0.0,33.39647716264175,0.1685926025019064,0.40241127044480124,0.0,0.6401997484349113,0.0,0.41074402907522434
B-2-s1,TD,0.0,0.0,13.351150329008965,11.518748294243167,1.0576885325578533,0.0,0.47595983965103367,0.7615357434416536,0.0,71.43350922395396,2.48771391323221,0.37730004046653853,0.0,1.499143451228721,0.0,2.548162405650853
B-W9-s2,TD,0.0,0.0,36.79482322863661,11.577172526330935,0.553285707949137,0.0,3.4910828034902317,0.0,0.0,14.277948025133373,5.7058140153096,1.0147983479130895,0.0,0.9892077808787608,0.0,5.152175334022056
B-L2-o2,TD,0.0,0.0,5.591513206709989,38.84864171223837,0.0,0.0,0.0,0.0,0.0,27.49676588723365,0.0,0.0,0.0,0.0,0.0,0.0
B-W5-s2,TD,0.0,0.0,9.431977521710564,25.544733088802587,0.0,0.0,0.0,0.0,0.0,58.769470135376615,0.0,0.0,0.0,0.0,0.0,0.0
B-L3-o1,TD,0.0,0.0,16.557018475861806,10.287601993697534,1.8770523619693606,0.0,1.730383586351985,0.8214991264238344,0.0,42.749328603469344,0.6042869042660803,2.1180357045847877,0.0,1.446477491817037,0.0,0.841131954656081
B-L7-o1,TD,0.0,0.0,13.084706330295413,41.6200720930271,1.63447431490814,0.0,1.7695966389080615,2.422567441695558,0.0,29.52562753693976,4.245153227270258,0.9441702496964215,0.0,1.2825782090901627,0.0,3.5760448207251945
B-L2-s1,TD,0.0,0.0,3.6914138509137433,17.653735145184324,0.6537231620428859,0.0,0.22361397850566817,0.1292824038409966,0.0,71.98915798057527,0.36948019414971645,0.4943045840651609,0.0,0.6776181166838426,0.0,0.28745273791956755
B-P5-s1,TD,0.1875017102834571,0.0,17.816432352584936,28.753323628196753,1.0119139920059603,0.0,0.5315524675654832,0.6906809031711268,0.0,22.634135027074496,0.6373358550801461,0.47182970058630885,0.0,1.0888988212017081,0.0,0.728578074244291
B-L9-o1,TD,0.0,0.0,21.92354458353167,15.801550689697995,1.8274682324527098,0.0,1.4335125925982313,1.9067221570636688,0.0,66.36735216837755,2.77969067166494,1.1539544972095728,0.0,2.2545427568617686,0.0,2.212746435305986
B-P5-o1,TD,0.1749474392287269,0.0,26.99189062386069,23.04880583776118,1.4828878182244465,0.0,0.6375862229669151,0.6786849864682675,0.0,71.72261850247031,1.1454891854261855,0.2490918301399488,0.0,1.313771960303343,0.0,0.7439431582440594
B-L6-o1,TD,0.0,0.0,10.087442927250809,11.72801982125075,0.0,0.0,0.0,0.0,0.0,45.48443766605902,0.0,0.0,0.0,0.0,0.0,0.0
B-W8-o1,TD,0.0,0.0,18.433228370070474,16.25369406422039,0.0,0.0,0.0,0.0,0.0,25.06313647366279,0.0,0.0,0.0,0.0,0.0,0.0
B-W5-o1,TD,0.0,0.0,35.43012828354508,14.37687935667115,0.5736281166641101,0.0,0.45514286515851454,0.47621956855133707,0.0,24.28719799611818,0.5468550069489025,1.061240497860216,0.0,1.1662442544028346,0.0,0.5689661777298723
